Homicides
1213
1050
1261
1277
1398
1376
1382
1467
1307
1423
1307
1411
1437
1124
1365
1297
1531
1546
1676
1650
1610
1486
1503
1568
1499
1266
1476
1525
1649
1657
1804
1804
1675
1678
1720
1609
1726
1428
1467
1530
1688
1670
1803
1651
1595
1725
1647
1580
1674
1376
1449
1572
1559
1674
1755
1607
1613
1512
1483
1556
1574
1356
1467
1444
1662
1673
1729
1639
1647
1610
1625
1715
